item_id,category,item_name,description,size,unit,vendor,estimated_unit_cost,cost_basis,last_updated,price_confidence,notes
PLY-075-BIRCH,sheet_goods,3/4 Birch Plywood,cabinet grade plywood,4 x 8 x 3/4 in,sheet,Home Depot,85,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-075-MAPLE,sheet_goods,3/4 Maple Plywood,cabinet grade plywood,4 x 8 x 3/4 in,sheet,Home Depot,95,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-075-OAK,sheet_goods,3/4 Red Oak Plywood,cabinet grade plywood,4 x 8 x 3/4 in,sheet,Home Depot,90,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-075-SANDE,sheet_goods,3/4 Sande Plywood,paint grade cabinet plywood,4 x 8 x 3/4 in,sheet,Home Depot,70,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-075-PREFIN-MAPLE,sheet_goods,3/4 Prefinished Maple Plywood,prefinished cabinet plywood,4 x 8 x 3/4 in,sheet,Home Depot,125,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-050-BIRCH,sheet_goods,1/2 Birch Plywood,drawer/utility plywood,4 x 8 x 1/2 in,sheet,Home Depot,60,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-050-MAPLE,sheet_goods,1/2 Maple Plywood,cabinet plywood,4 x 8 x 1/2 in,sheet,Home Depot,75,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-025-BIRCH,sheet_goods,1/4 Birch Plywood,backs and drawer bottoms,4 x 8 x 1/4 in,sheet,Home Depot,35,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-025-MAPLE,sheet_goods,1/4 Maple Plywood,backs and panels,4 x 8 x 1/4 in,sheet,Home Depot,45,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-075-MDF,sheet_goods,3/4 MDF,paint grade panels,4 x 8 x 3/4 in,sheet,Home Depot,50,estimated,5/29/2026,low,Top 10 common 4x8 cabinet sheet goods
PLY-050-MDF,sheet_goods,1/2 MDF,paint grade panels,4 x 8 x 1/2 in,sheet,Home Depot,38,estimated,5/29/2026,low,
PLY-025-MDF,sheet_goods,1/4 MDF,templates and backs,4 x 8 x 1/4 in,sheet,Home Depot,25,estimated,5/29/2026,low,
